STATE_NAME,BIDEN,TRUMP,K
Alaska,44,54,1120
Hawaii,64,34,1187
California,62,36,22234
Oregon,61,37,4932
Idaho,40,48,1679
Washington,61,37,7360
Montana,45,53,1266
Wyoming,31,67,654
Nevada,51,48,3015
Arizona,53,46,5568
Colorado,59,40,5714
North Dakota,40,59,595
South Dakota,43,55,964
Nebraska,46,52,1777
Utah,45,52,2466
New Mexico,53,45,2584
Minnesota,56,42,5004
Iowa,49,49,2768
Missouri,45,53,4314
Kansas,47,51,3143
Oklahoma,40,59,2790
Texas,48,50,14571
Wisconsin,55,43,4466
Illinois,57,40,7649
Kentucky,42,57,3381
Arkansas,39,59,2033
Louisiana,38,59,2573
Indiana,44,54,4431
West Virginia,33,66,1271
Tennessee,42,56,4696
Mississippi,37,62,1725
Michigan,53,45,7094
Ohio,47,51,7598
Maryland,67,32,5456
Virginia,55,43,6849
South Carolina,44,54,4403
Georgia,50,49,6564
Florida,48,49,14053
Pennsylvania,52,46,9986
Delaware,62,36,1212
New York,64,33,9773
New Jersey,60,37,6048
Vermont,67,30,1002
Massachusetts,70,28,5310
New Jersey,60,37,6048
District of Columbia,88,10,914
Connecticut,63,35,3490
Maine,56,42,1749
New Hampshire,55,43,1629
Rhode Island,68,31,842
Alabama,38,61,3122
North Carolina,52,46,7766
